iterations,delta th,delta th time,delta lr,delta lr time,gamma th,gamma th time,gamma lrlr,gamma lrlr time,vega th,vega th time,vega lr,vega lr time
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-127.291,0
1,0.776067,0,0,0,0.00258389,0,-0.0340036,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.00925749,0,15.5528,0,-47.4752,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-128.247,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0.787888,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-60.0109,0
1,0.776067,0,0,0,0.00258389,0,-0.00336073,0,15.5528,0,-28.6099,0
1,0.776067,0,0,0,0.00258389,0,-0.0129001,0,15.5528,0,-127.385,0
1,0.776067,0,1.83242,0,0.00258389,0,-0.0366131,0,15.5528,0,-120.736,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,2.68548,0,0.00258389,0,-0.0233217,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0322153,0,15.5528,0,0,0
1,0.776067,0,7.5186,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-129.017,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-10.2581,0
1,0.776067,0,0.941261,0,0.00258389,0,-0.00433467,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-122.904,0
1,0.776067,0,1.52175,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0.452163,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0.0468367,0,15.5528,0,-113.16,0
1,0.776067,0,0,0,0.00258389,0,-0.0058386,0,15.5528,0,-66.6172,0
1,0.776067,0,0,0,0.00258389,0,-0.00879337,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,1.41425,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0193065,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.00683997,0,15.5528,0,-112.047,0
1,0.776067,0,3.53589,0,0.00258389,0,-0.00388224,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,1.01334,0,0.00258389,0,-0.0360677,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-70.906,0
1,0.776067,0,0,0,0.00258389,0,-0.0261796,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0323828,0,15.5528,0,-16.9309,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.033121,0,15.5528,0,0,0
1,0.776067,0,3.80486,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0265341,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0226828,0,15.5528,0,-123.489,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,292.207,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-1.24838,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
