iterations,delta th,delta th time,delta lr,delta lr time,gamma th,gamma th time,gamma lrlr,gamma lrlr time,vega th,vega th time,vega lr,vega lr time
1,0.776067,0,0,0,0.00258389,0,-0.0366151,0,15.5528,0,-52.205,0
1,0.776067,0,1.98909,0,0.00258389,0,-0.00182254,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-13.2133,0
1,0.776067,0,0,0,0.00258389,0,0.134443,0,15.5528,0,0,0
1,0.776067,0,0.128295,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,1.53332,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.00789972,0,15.5528,0,-121.603,0
1,0.776067,0,1.01978,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,2.58702,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,10.7838,0.001,0.00258389,0,-0.0207745,0,15.5528,0,1141.08,0
1,0.776067,0,0,0.001,0.00258389,0,-0.0314675,0,15.5528,0,0,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,1005.76,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0184152,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0296381,0,15.5528,0,0,0
1,0.776067,0,1.98107,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0.001,0.00258389,0,-0.0311464,0,15.5528,0,0,0
1,0.776067,0,0.775492,0.001,0.00258389,0,0,0,15.5528,0,-123.188,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-39.1982,0.001
1,0.776067,0,1.70533,0,0.00258389,0,-0.00672518,0,15.5528,0,-14.7498,0.001
1,0.776067,0,0,0,0.00258389,0,-0.0094379,0,15.5528,0,0,0
1,0.776067,0,4.28976,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0220834,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0317184,0.001,15.5528,0,-129.026,0
1,0.776067,0,0,0,0.00258389,0,-0.0300675,0.001,15.5528,0,0,0
1,0.776067,0,1.09654,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0.795158,0.001,0.00258389,0,-0.0129594,0,15.5528,0,0,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,-114.1,0
1,0.776067,0,1.44232,0.001,0.00258389,0,-0.0335528,0,15.5528,0,0,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-100.982,0
1,0.776067,0,0,0,0.00258389,0,0,0.001,15.5528,0,2475.97,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0.0252655,0,15.5528,0,-113.037,0
1,0.776067,0,2.94993,0,0.00258389,0,0,0.001,15.5528,0,0,0
1,0.776067,0,0.164159,0,0.00258389,0,-0.0271074,0,15.5528,0,-91.2238,0
1,0.776067,0,0.347878,0,0.00258389,0,-0.0356686,0,15.5528,0,0,0
1,0.776067,0,1.01228,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0287737,0,15.5528,0,0,0.015
1,0.776067,0,1.21015,0,0.00258389,0,0,0,15.5528,0,-127.773,0
1,0.776067,0,0,0,0.00258389,0,-0.0350441,0.001,15.5528,0,-90.2146,0
1,0.776067,0,1.67171,0,0.00258389,0,0,0,15.5528,0,464.406,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-125.052,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0363886,0,15.5528,0,-11.7104,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0.000770889,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0142916,0,15.5528,0,-10.0999,0
1,0.776067,0,0,0,0.00258389,0,-0.0362906,0,15.5528,0,0,0
1,0.776067,0,2.11251,0,0.00258389,0,0,0,15.5528,0,137.395,0
1,0.776067,0,4.60258,0,0.00258389,0,-0.0130332,0,15.5528,0,-128.823,0
1,0.776067,0,1.60129,0,0.00258389,0,-0.034588,0,15.5528,0,0,0
1,0.776067,0,2.40057,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-23.0723,0
1,0.776067,0,0,0,0.00258389,0,-0.0330022,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,1.01045,0,0.00258389,0,-0.0213728,0,15.5528,0,-123.901,0
1,0.776067,0,0.0291237,0,0.00258389,0,0.0770757,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,2.85269,0,0.00258389,0,-0.0289375,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0211371,0.001,15.5528,0,-123.436,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-60.4764,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,3.7496,0,0.00258389,0,1.91304,0.001,15.5528,0,1550.37,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,2.42338,0,0.00258389,0,0,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0.111695,0,0.00258389,0,0.0529636,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,1.36988,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,-66.7698,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-128.534,0.001
1,0.776067,0,0,0,0.00258389,0,-0.00554808,0,15.5528,0,-26.4305,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-121.794,0
1,0.776067,0,1.28941,0.001,0.00258389,0,-0.0186318,0,15.5528,0,56.8114,0
1,0.776067,0,1.043,0.001,0.00258389,0,-0.0364509,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.02373,0.001,15.5528,0,-127.09,0
1,0.776067,0,0.510966,0.001,0.00258389,0,-0.0316647,0,15.5528,0,0,0
1,0.776067,0,1.25105,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0364678,0.001,15.5528,0,0,0
1,0.776067,0,11.8897,0,0.00258389,0,-0.0351522,0,15.5528,0,-127.849,0.001
1,0.776067,0,0,0,0.00258389,0,-0.0344574,0,15.5528,0,-128.919,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-52.0564,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.013999,0,15.5528,0,0,0.001
1,0.776067,0,4.18643,0,0.00258389,0,0,0,15.5528,0,-12.8196,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-0.300599,0.001
1,0.776067,0,0,0,0.00258389,0,0.0386079,0,15.5528,0,-70.5163,0.001
1,0.776067,0,0,0,0.00258389,0,0.0305266,0,15.5528,0,-128.486,0.001
1,0.776067,0,1.46233,0,0.00258389,0,0,0,15.5528,0,-24.146,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-108.114,0
1,0.776067,0,0,0.001,0.00258389,0,0.0342742,0,15.5528,0,-39.7849,0
1,0.776067,0,1.22643,0.001,0.00258389,0,0,0,15.5528,0,-59.912,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0279776,0.001,15.5528,0,0,0
1,0.776067,0,2.09565,0,0.00258389,0,0,0,15.5528,0,-8.6999,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-25.3405,0.001
1,0.776067,0,0,0,0.00258389,0,-0.0253259,0,15.5528,0,-125.082,0
1,0.776067,0,0.744783,0,0.00258389,0,0,0,15.5528,0,171.82,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,3.71833,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.023223,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-98.3512,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-46.8068,0
1,0.776067,0,0.408243,0.001,0.00258389,0,-0.00744547,0,15.5528,0,0,0
1,0.776067,0,0.87296,0,0.00258389,0,0,0,15.5528,0,0,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0.116757,0,0.00258389,0,-0.0360845,0.001,15.5528,0,-103.238,0
1,0.776067,0,0,0,0.00258389,0,0,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-105.291,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0336087,0.001,15.5528,0,-14.6286,0
1,0.776067,0,1.7397,0,0.00258389,0,0,0,15.5528,0,-64.8144,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-87.082,0
1,0.776067,0,2.4787,0.001,0.00258389,0,-0.031786,0,15.5528,0,-129.129,0
1,0.776067,0,0,0,0.00258389,0,0,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0357978,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0.001,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-97.5296,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0.001,0.00258389,0,-0.0366796,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0366821,0.001,15.5528,0,-34.52,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-49.1377,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-126.204,0
1,0.776067,0,1.20419,0,0.00258389,0,0,0,15.5528,0,-65.898,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-77.2097,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0.001
1,0.776067,0,0,0,0.00258389,0,-0.0183624,0,15.5528,0,0,0
1,0.776067,0,3.46834,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0334163,0.001,15.5528,0,0,0
1,0.776067,0,0.443081,0,0.00258389,0,0,0.001,15.5528,0,-88.9834,0
1,0.776067,0,0.632143,0.001,0.00258389,0,0,0,15.5528,0,-125.035,0
1,0.776067,0,0,0.001,0.00258389,0,0,0,15.5528,0,293.859,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0.001
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,2.3281,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0.001,0.00258389,0,-0.0366356,0,15.5528,0,0,0
1,0.776067,0,1.4689,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0366155,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,-65.6572,0
1,0.776067,0,1.47923,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,1.484,0.001,0.00258389,0,0,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,0.0508479,0,15.5528,0,0,0.001
1,0.776067,0,7.13661,0,0.00258389,0,-0.0150481,0,15.5528,0,0,0
1,0.776067,0,0.466117,0.001,0.00258389,0,0,0,15.5528,0,-75.898,0
1,0.776067,0,0,0,0.00258389,0,0,0.001,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0279146,0,15.5528,0,0,0
1,0.776067,0,0,0,0.00258389,0,-0.0322812,0.001,15.5528,0,0,0
