iterations;delta th;delta th time;delta lr;delta lr time;delta pw;delta pw time;gamma th;gamma th time;gamma pwlr;gamma pwlr time;gamma lrpw;gamma lrpw time;gamma lrlr;gamma lrlr time;vega th;vega th time;vega lr;vega lr time;vega pw;vega pw time
1;0.627409;1.7e-05;0;1e-06;0;1e-06;0.0094605;2e-06;0;1e-06;0;2e-06;0;2e-06;37.842;5e-06;0;1e-06;0;0
1;0.627409;2e-06;0;1e-06;0;1e-06;0.0094605;3e-06;0;2e-06;0;2e-06;0;2e-06;37.842;2e-06;0;2e-06;0;1e-06
1;0.627409;2e-06;0.0075945;1e-06;0.973913;2e-06;0.0094605;2e-06;-0.00647852;2e-06;0.00318467;1e-06;-0.00146827;2e-06;37.842;1e-06;-5.87308;2e-06;-25.9141;2e-06
1;0.627409;2e-06;0;2e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;1e-06;0;2e-06
1;0.627409;3e-06;0.158702;2e-06;1.09777;2e-06;0.0094605;3e-06;0.000911129;2e-06;0.0103018;2e-06;-0.00902699;3e-06;37.842;2e-06;-36.108;2e-06;3.64452;1e-06
1;0.627409;2e-06;0;2e-06;0;0;0.0094605;1e-06;0;1e-06;0;0;0;1e-06;37.842;1e-06;0;0;0;1e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;1e-06;0;0;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;2e-06
1;0.627409;2e-06;0.0105031;2e-06;0.97955;2e-06;0.0094605;2e-06;-0.00616271;2e-06;0.00352777;2e-06;-0.00183613;2e-06;37.842;2e-06;-7.34451;2e-06;-24.6508;2e-06
1;0.627409;1e-06;3.29791;0;1.7652;1e-06;0.0094605;2e-06;0.0538676;1e-06;0.0385404;2e-06;0.0497676;2e-06;37.842;2e-06;199.07;2e-06;215.47;2e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;1e-06;2.71438;1e-06;1.67798;1e-06;0.0094605;2e-06;0.0458919;2e-06;0.0355279;1e-06;0.0288148;1e-06;37.842;1e-06;115.259;2e-06;183.567;1e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;2e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;1.19084;1e-06;1.40491;2e-06;0.0094605;2e-06;0.0228274;2e-06;0.0249682;2e-06;-0.00900595;2e-06;37.842;2e-06;-36.0238;2e-06;91.3097;2e-06
1;0.627409;2e-06;0.00623801;1e-06;0.970975;2e-06;0.0094605;2e-06;-0.00664233;2e-06;0.00300505;2e-06;-0.0012768;2e-06;37.842;2e-06;-5.1072;2e-06;-26.5693;2e-06
1;0.627409;3e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;2e-06;0.00347332;2e-06;0.964041;1e-06;0.0094605;2e-06;-0.00702676;1e-06;0.00257892;1e-06;-0.000826022;1e-06;37.842;1e-06;-3.30409;2e-06;-28.107;1e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;1e-06;0;1e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0.000329533;1e-06;0.95289;1e-06;0.0094605;1e-06;-0.00763834;1e-06;0.00188727;1e-06;-0.000106449;2e-06;37.842;1e-06;-0.425797;1e-06;-30.5533;1e-06
1;0.627409;2e-06;1.12489;1e-06;1.39054;1e-06;0.0094605;1e-06;0.0217005;1e-06;0.024357;1e-06;-0.00990212;1e-06;37.842;1e-06;-39.6085;2e-06;86.8021;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;2e-06;0;2e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;3e-06;0.959345;2e-06;1.35284;2e-06;0.0094605;2e-06;0.0187878;2e-06;0.0227227;2e-06;-0.0117773;1e-06;37.842;2e-06;-47.1093;1e-06;75.151;1e-06
1;0.627409;2e-06;0;2e-06;0;2e-06;0.0094605;2e-06;0;1e-06;0;1e-06;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;2e-06;1.35944;2e-06;1.44023;1e-06;0.0094605;1e-06;0.0256365;1e-06;0.0264444;1e-06;-0.00636428;1e-06;37.842;1e-06;-25.4571;1e-06;102.546;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;3e-06;0;2e-06;37.842;2e-06;0;2e-06;0;2e-06
1;0.627409;1e-06;0.0227726;3e-06;0.997965;1e-06;0.0094605;1e-06;-0.00511689;1e-06;0.00463503;1e-06;-0.00303772;1e-06;37.842;1e-06;-12.1509;2e-06;-20.4676;1e-06
1;0.627409;2e-06;2.31713;2e-06;1.61445;2e-06;0.0094605;2e-06;0.0402602;2e-06;0.0332334;1e-06;0.0163316;1e-06;37.842;1e-06;65.3262;1e-06;161.041;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;2e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;0;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;0;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;2e-06;0;2e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;1e-06;0.466751;1e-06;1.21947;0;0.0094605;0;0.00902499;0;0.0165521;2e-06;-0.0133104;1e-06;37.842;1e-06;-53.2417;2e-06;36.1;1e-06
1;0.627409;0;0;1e-06;0;2e-06;0.0094605;1e-06;0;1e-06;0;0;0;1e-06;37.842;1e-06;0;1e-06;0;1e-06
1;0.627409;1e-06;0;1e-06;0;1e-06;0.0094605;1e-06;0;1e-06;0;1e-06;0;2e-06;37.842;1e-06;0;1e-06;0;2e-06
1;0.627409;1e-06;0;2e-06;0;1e-06;0.0094605;0;0;2e-06;0;1e-06;0;1e-06;37.842;0;0;2e-06;0;1e-06
