iterations,delta th,delta th time,delta pw,delta pw time,delta lr,delta lr time,gamma th,gamma th time,gamma pwlr,gamma pwlr time,gamma lrlr,gamma lrlr time,vega th,vega th time,vega pw,vega pw time,vega lr,vega lr time
1,1.32883,0,1.76304,0,1.44818,0,0.0208112,0,-0.00424136,0,0.00467586,0,98.688,0,0,0,-29.1639,0
1,1.32883,0,1.33263,0,1.83256,0,0.0208112,0,0.0474516,0,0.147635,0,98.688,0,0,0,-30.6142,0
1,1.32883,0,1.5674,0,0.101662,0,0.0208112,0,0.138674,0,-0.012129,0,98.688,0,0,0,-33.3608,0
1,1.32883,0,1.33759,0,1.75772,0,0.0208112,0,-2.7077e-005,0,-0.0122163,0,98.688,0,0,0,-29.6984,0
1,1.32883,0,1.52846,0,3.76565,0,0.0208112,0,-0.0120442,0,-0.0074035,0,98.688,0,0,0,34.3338,0
1,1.32883,0,1.31072,0,0.227948,0,0.0208112,0,-0.00268669,0,-0.00492929,0,98.688,0,0,0,-28.0545,0
1,1.32883,0,1.08669,0,0.00367322,0,0.0208112,0,-0.000227682,0,-0.012064,0,98.688,0,0,0,-27.6624,0
1,1.32883,0,1.03992,0,0.459637,0,0.0208112,0,0.00473454,0,-0.0122042,0,98.688,0,0,0,118.331,0
1,1.32883,0,1.07555,0,0.539738,0,0.0208112,0,-0.00961445,0,-0.00854051,0,98.688,0,0,0,-32.8371,0
1,1.32883,0,1.052,0,1.74674,0,0.0208112,0,-0.00496645,0,0.301995,0,98.688,0,0,0,470.923,0
1,1.32883,0,1.21614,0,0.320151,0,0.0208112,0,-0.00818341,0,-0.0122256,0,98.688,0,0,0,-32.859,0
1,1.32883,0,1.62336,0,0.0151928,0,0.0208112,0,-0.00803888,0,-0.00896941,0,98.688,0,0,0,-25.5651,0
1,1.32883,0,2.36813,0,0.0670403,0,0.0208112,0,0.0116553,0,-0.00860525,0,98.688,0,0,0,-30.3556,0
1,1.32883,0,1.45502,0,0.922352,0,0.0208112,0,-0.00404595,0,-0.000862277,0,98.688,0,0,0,-19.3697,0
1,1.32883,0,1.0394,0,6.15464,0,0.0208112,0,0.0346874,0,0.297043,0,98.688,0,0,0,-15.7665,0
1,1.32883,0,1.33554,0,0.176531,0,0.0208112,0,-0.0118915,0,0.10783,0,98.688,0,0,0,-29.8081,0
1,1.32883,0,1.3484,0,10.9331,0,0.0208112,0,-0.00309817,0,0.0417998,0,98.688,0,0,0,-32.147,0
1,1.32883,0,1.1375,0,0.00854802,0,0.0208112,0,0.0229175,0,0.0684266,0,98.688,0,0,0,-2.64676,0
1,1.32883,0,1.14245,0,0.136205,0,0.0208112,0,0.0797946,0,-0.000981077,0,98.688,0,0,0,148.778,0
1,1.32883,0,1.42629,0,1.3098,0,0.0208112,0,-0.0102008,0,-0.0122109,0,98.688,0,0,0,-4.81206,0
1,1.32883,0,1.02987,0,0.392383,0,0.0208112,0,-0.00983663,0,-0.0049894,0,98.688,0,0,0,-3.91766,0
1,1.32883,0,1.38515,0,1.32168,0,0.0208112,0,-0.0105516,0,-0.000135911,0,98.688,0,0,0,-13.1423,0
1,1.32883,0,1.29126,0,1.46792,0,0.0208112,0,0.0811342,0,-0.00578369,0,98.688,0,0,0,59.5075,0
1,1.32883,0,1.31891,0,0.111718,0,0.0208112,0,0.151459,0,-0.000571201,0,98.688,0,0,0,-20.0672,0
1,1.32883,0,1.13912,0,0.368144,0,0.0208112,0,-0.00752344,0,-0.0121536,0,98.688,0,0,0,-2.88785,0
1,1.32883,0,0.977146,0,0.0108401,0,0.0208112,0,-0.00399805,0,-0.012226,0,98.688,0,0,0,385.185,0
1,1.32883,0,1.00873,0,0.131557,0,0.0208112,0,-0.0044942,0,-0.0119792,0,98.688,0,0,0,-25.3999,0
1,1.32883,0,0.957177,0,0.0620164,0,0.0208112,0,-0.00735107,0,-0.00769815,0,98.688,0,0,0,-33.4368,0
1,1.32883,0,1.1547,0,0.103577,0,0.0208112,0,-0.0070859,0,0.0115859,0,98.688,0,0,0,3070.94,0
1,1.32883,0,1.0091,0,0.65182,0,0.0208112,0,-0.0110847,0,0.00777653,0,98.688,0,0,0,-9.86529,0
1,1.32883,0,2.13858,0,1.9385,0,0.0208112,0,-0.000309324,0,0.109504,0,98.688,0,0,0,-27.0992,0
1,1.32883,0,0.994104,0,16.559,0,0.0208112,0,0.00519105,0,0.099021,0,98.688,0,0,0,280.565,0
1,1.32883,0,1.12246,0,0.402917,0,0.0208112,0,0.00286307,0,-0.00239172,0,98.688,0,0,0,-33.2665,0
1,1.32883,0,1.01061,0,0.495814,0,0.0208112,0,-0.0022698,0.001,-0.0092598,0,98.688,0,0,0,-32.144,0
1,1.32883,0,1.18875,0,0.0504332,0,0.0208112,0,-0.00881854,0,-0.00362061,0,98.688,0,0,0,-24.8574,0
1,1.32883,0,3.86607,0,0.217344,0,0.0208112,0,0.0434553,0,0.294045,0,98.688,0,0,0,-32.7454,0
1,1.32883,0,1.27445,0,0.147049,0,0.0208112,0,-0.0118826,0,0.00858744,0,98.688,0,0,0,-6.0033,0
1,1.32883,0,2.22843,0,0.348159,0,0.0208112,0,-0.0115765,0,-0.00933103,0,98.688,0,0,0,-33.3488,0
1,1.32883,0,1.81929,0,0.00234915,0,0.0208112,0,-0.0108686,0,-0.0121059,0,98.688,0,0,0,-14.0939,0
1,1.32883,0,1.37365,0,0.0169659,0,0.0208112,0,-0.00364498,0,-4.0252e-005,0,98.688,0,0,0,-25.2148,0
1,1.32883,0,1.70288,0,0.553704,0,0.0208112,0,-0.0109202,0,-0.00428369,0,98.688,0,0,0,-7.15664,0
1,1.32883,0,1.73789,0,2.65088,0,0.0208112,0,-0.0118093,0,-0.00544913,0,98.688,0,0,0,-12.3191,0
1,1.32883,0,2.29518,0,0.124704,0,0.0208112,0,-0.0121839,0,-0.00538378,0,98.688,0,0,0,-26.2098,0
1,1.32883,0,1.21196,0,1.21747,0,0.0208112,0,-0.00221035,0,-0.00956537,0,98.688,0,0,0,852.095,0
1,1.32883,0,1.73415,0,0.607869,0,0.0208112,0,-0.00305545,0,-0.0112035,0,98.688,0,0,0,-7.65364,0
1,1.32883,0,1.26436,0,0.308203,0,0.0208112,0,-0.00856643,0,-0.00506673,0,98.688,0,0,0,-11.3086,0
1,1.32883,0,1.11121,0,2.57844,0,0.0208112,0,-0.0121512,0,0.0167374,0,98.688,0,0,0,-32.0215,0
1,1.32883,0,1.95798,0,0.642101,0,0.0208112,0,-0.00752842,0,-0.00581692,0,98.688,0,0,0,-24.0768,0
1,1.32883,0,1.22697,0,2.50986,0,0.0208112,0,0.0131791,0,0.419459,0,98.688,0,0,0,-16.2763,0
1,1.32883,0,2.60014,0,1.42785,0,0.0208112,0,-0.0105676,0,-0.00507083,0,98.688,0,0,0,-18.0406,0
1,1.32883,0,0.964654,0,0.133256,0,0.0208112,0,-0.0122169,0,0.0591169,0,98.688,0,0,0,861.682,0
1,1.32883,0,0.955172,0,0.0934929,0,0.0208112,0,-0.00979853,0,-0.0121974,0,98.688,0,0,0,-15.5219,0
1,1.32883,0,1.26939,0,0.843462,0,0.0208112,0,0.0130708,0,-0.00204906,0,98.688,0,0,0,-32.0869,0
1,1.32883,0,1.15135,0,0.91661,0,0.0208112,0,-0.0117142,0,-0.00513086,0,98.688,0,0,0,-25.3399,0
1,1.32883,0,1.03041,0,3.53432,0,0.0208112,0,-0.0112885,0,0.126204,0,98.688,0,0,0,-21.4634,0
1,1.32883,0,1.37546,0,2.6706,0,0.0208112,0,-0.0095528,0,-0.012127,0,98.688,0,0,0,192.69,0
1,1.32883,0,2.41058,0,4.30787,0,0.0208112,0,0.13038,0,-0.0122111,0,98.688,0,0,0,-24.3177,0
1,1.32883,0,2.06204,0,0.095843,0,0.0208112,0,-0.0088765,0,-0.00871543,0,98.688,0,0,0,60.4867,0
1,1.32883,0,1.65535,0,0.0404301,0,0.0208112,0,-0.0120279,0,-0.0096465,0,98.688,0,0,0,1079.18,0
1,1.32883,0,1.58248,0,2.0619,0,0.0208112,0,-0.00024038,0,-0.0117772,0,98.688,0,0,0,-29.9607,0
1,1.32883,0,1.50623,0,0.000222705,0,0.0208112,0,0.110803,0,0.715664,0,98.688,0,0,0,-17.9636,0
1,1.32883,0,1.19412,0,0.0274679,0,0.0208112,0,-0.003406,0,-0.00996658,0,98.688,0,0,0,35.9801,0
1,1.32883,0,1.61476,0,0.874104,0,0.0208112,0,-0.0116657,0,-0.0122161,0,98.688,0,0,0,-0.0613589,0
1,1.32883,0,0.974051,0,0.492368,0,0.0208112,0,-0.00918443,0,-0.000355492,0,98.688,0,0,0,-29.5273,0
1,1.32883,0,1.06948,0,0.997924,0,0.0208112,0,-0.0114185,0,0.00805985,0,98.688,0,0,0,-22.6559,0
1,1.32883,0,1.61157,0,0.0781589,0,0.0208112,0,-0.0106892,0,-0.00168659,0,98.688,0,0,0,-19.5698,0
1,1.32883,0,2.16703,0,4.34862,0,0.0208112,0,-0.00297975,0,-0.00893233,0,98.688,0,0,0,49.3641,0
1,1.32883,0,1.25449,0,0.0921982,0,0.0208112,0,-0.00401721,0,-0.00949774,0,98.688,0,0,0,-32.483,0
1,1.32883,0,1.18578,0,0.399832,0,0.0208112,0,-9.1704e-005,0,0.113414,0,98.688,0,0,0,-17.1753,0
1,1.32883,0,1.0748,0,0.144946,0,0.0208112,0,-0.0102874,0,-0.00914115,0,98.688,0,0,0,-20.5416,0
1,1.32883,0,1.0629,0,0.590726,0,0.0208112,0,0.0368368,0,-0.00747871,0,98.688,0,0,0,-33.1582,0
1,1.32883,0,1.65493,0,1.05003,0,0.0208112,0,0.0260708,0,0.0212413,0,98.688,0,0,0,-32.8589,0
1,1.32883,0,1.23356,0,0.422435,0,0.0208112,0,-0.0012871,0,0.0831453,0,98.688,0,0,0,-23.3173,0
1,1.32883,0,1.12204,0,0.309236,0,0.0208112,0,-0.0101008,0,-0.00582032,0,98.688,0,0,0,76.3899,0
1,1.32883,0,1.08067,0,0.0783746,0,0.0208112,0,0.00905756,0,0.0279917,0,98.688,0,0,0,-4.21685,0
1,1.32883,0,1.26586,0,0.12176,0,0.0208112,0,-0.010146,0,-0.00431407,0,98.688,0,0,0,-31.587,0
1,1.32883,0,1.09692,0,2.40897,0,0.0208112,0,-0.0096847,0,-0.0117314,0,98.688,0,0,0,-32.4509,0
1,1.32883,0,1.40713,0,0.575239,0,0.0208112,0,0.0775742,0,-0.0111362,0,98.688,0,0,0,589.788,0
1,1.32883,0,1.82719,0,0.151174,0,0.0208112,0,-0.00172662,0,0.00339459,0,98.688,0,0,0,-4.60248,0
1,1.32883,0,1.13697,0,0.189161,0,0.0208112,0,-0.0115827,0,0.0292811,0,98.688,0,0,0,-31.3226,0
1,1.32883,0,1.46558,0,0.689672,0,0.0208112,0,-0.00480494,0,-0.00585663,0,98.688,0,0,0,-29.2566,0
1,1.32883,0,1.05134,0,3.05962,0,0.0208112,0,-0.00909676,0,-0.0121773,0,98.688,0,0,0,2616.79,0
1,1.32883,0,1.70077,0,1.5261,0,0.0208112,0,-0.000299209,0,0.00201736,0,98.688,0,0,0,-19.3899,0
1,1.32883,0,1.27145,0,1.73745,0,0.0208112,0,-0.00266201,0,-0.00209141,0,98.688,0,0,0,-22.0739,0
1,1.32883,0,1.01995,0,0.591798,0,0.0208112,0,0.0456551,0,-0.00841585,0,98.688,0,0,0,-32.883,0
1,1.32883,0,1.18629,0,0.685259,0,0.0208112,0,-0.000796866,0,0.535524,0,98.688,0,0,0,-0.61322,0
1,1.32883,0,1.26239,0,0.0406973,0,0.0208112,0,-0.0122237,0,0.0376134,0,98.688,0,0,0,52.1086,0
1,1.32883,0,1.23527,0,1.84583,0,0.0208112,0,-0.0118476,0,-0.00963178,0,98.688,0,0,0,-32.0766,0
1,1.32883,0,1.18743,0,0.480173,0,0.0208112,0,-0.000993478,0,0.0880226,0,98.688,0,0,0,179.521,0
1,1.32883,0,1.31067,0,0.51115,0,0.0208112,0,0.0723394,0,-0.010185,0,98.688,0,0,0,-32.5633,0
1,1.32883,0,1.32978,0,0.579805,0,0.0208112,0,-0.00202701,0,-0.00797663,0,98.688,0,0,0,-22.4157,0
1,1.32883,0,2.21221,0,0.677769,0,0.0208112,0,0.0183687,0,-0.00829576,0,98.688,0,0,0,-10.2382,0
1,1.32883,0,1.17993,0,0.670628,0,0.0208112,0,0.043698,0,-0.005528,0,98.688,0,0,0,-28.7108,0
1,1.32883,0,1.01278,0,0.0885027,0,0.0208112,0,-0.0104027,0,0.066616,0,98.688,0,0,0,-13.8855,0
1,1.32883,0,1.04331,0,0.0587403,0,0.0208112,0,0.116445,0.001,-0.00356767,0,98.688,0,0,0,-11.5755,0
1,1.32883,0,1.17725,0,1.35238,0,0.0208112,0,-0.0091298,0,-0.0026549,0,98.688,0,0,0,-19.9081,0
1,1.32883,0,1.22789,0,0.0265625,0,0.0208112,0,0.160041,0,-0.00847838,0,98.688,0,0,0,-13.8681,0
1,1.32883,0,1.62393,0,0.0175176,0,0.0208112,0,-0.00836963,0,0.221301,0,98.688,0,0,0,-21.1247,0
1,1.32883,0,1.03497,0,2.16953,0,0.0208112,0,-0.00101429,0,-0.00272906,0,98.688,0,0,0,233.85,0
1,1.32883,0,1.49087,0,0.338728,0,0.0208112,0,0.0314935,0,-0.0113382,0,98.688,0,0,0,-15.9731,0
1,1.32883,0,1.39462,0,2.25018,0,0.0208112,0,0.0218417,0,-0.0116337,0,98.688,0,0,0,447.433,0
