iterations,EU th,EU th time,EU,EU time,Barrier th,Barrier th time,Barrier,Barrier time,Lookback th,Lookback th time,Lookback,Lookback time
1,18.023,0,13.2723,0,15.1816,0,14.85,0.09,37.7605,0.09,37.7338,0.16
1,18.023,0,15.0235,0,15.1816,0,15.143,0.058,37.7605,0.058,38.0573,0.136
1,18.023,0,0,0,15.1816,0,15.0371,0.07,37.7605,0.07,37.849,0.14
1,18.023,0,0,0,15.1816,0,15.1069,0.06,37.7605,0.06,37.9447,0.12
1,18.023,0,25.9,0,15.1816,0,15.182,0.06,37.7605,0.06,37.8618,0.12
1,18.023,0,0,0,15.1816,0,15.205,0.06,37.7605,0.06,38.0194,0.13
1,18.023,0,0,0,15.1816,0,15.1897,0.06,37.7605,0.06,37.7312,0.124
1,18.023,0,0,0,15.1816,0,15.1962,0.07,37.7605,0.07,37.9042,0.13
1,18.023,0,38.249,0,15.1816,0,15.3176,0.07,37.7605,0.07,37.8841,0.13
1,18.023,0,0,0,15.1816,0,15.068,0.054,37.7605,0.054,37.8238,0.137
1,18.023,0,25.5831,0,15.1816,0,15.3059,0.06,37.7605,0.06,37.8503,0.13
1,18.023,0,44.4322,0,15.1816,0,15.1067,0.06,37.7605,0.06,37.6685,0.12
1,18.023,0,77.9426,0,15.1816,0,15.2375,0.07,37.7605,0.07,37.868,0.13
1,18.023,0,0,0,15.1816,0,15.2577,0.07,37.7605,0.07,37.827,0.14
1,18.023,0,0,0,15.1816,0,15.227,0.06,37.7605,0.06,37.9145,0.14
1,18.023,0,0,0,15.1816,0,15.1206,0.06,37.7605,0.06,37.8821,0.13
1,18.023,0,52.0549,0,15.1816,0,15.2855,0.077,37.7605,0.077,37.7774,0.141
1,18.023,0,0,0,15.1816,0,15.1259,0.06,37.7605,0.06,37.5192,0.13
1,18.023,0,0,0,15.1816,0,15.1648,0.06,37.7605,0.06,37.7407,0.12
