S0,deltaCF,deltaPW,deltaLR
50,0.0795851,0.0793088,0.0794875
52,0.095129,0.095734,0.0968456
54,0.112094,0.11217,0.119182
56,0.130391,0.131894,0.130913
58,0.14991,0.148794,0.154008
60,0.170532,0.171099,0.170098
62,0.192126,0.192596,0.192292
64,0.214554,0.211702,0.21384
66,0.237679,0.240622,0.24004
68,0.261361,0.259378,0.263961
70,0.285463,0.285304,0.286358
72,0.309855,0.307794,0.311838
74,0.334412,0.333266,0.332433
76,0.359015,0.359515,0.362204
78,0.383556,0.382881,0.383319
80,0.407935,0.409647,0.409657
82,0.432062,0.436561,0.429337
84,0.455854,0.455173,0.455097
86,0.479242,0.4834,0.485318
88,0.502161,0.501395,0.503129
90,0.524559,0.525381,0.525076
92,0.54639,0.547235,0.539232
94,0.567617,0.566041,0.573648
96,0.588211,0.58725,0.593705
98,0.608147,0.610211,0.616952
100,0.627409,0.627483,0.629912
102,0.645986,0.648442,0.645057
104,0.663871,0.663905,0.658742
106,0.681063,0.679702,0.66909
108,0.697562,0.698628,0.699639
110,0.713376,0.714296,0.708334
112,0.728513,0.726631,0.729203
114,0.742983,0.743322,0.752336
116,0.756801,0.756583,0.758195
118,0.769982,0.770886,0.770418
120,0.782541,0.780252,0.776065
122,0.794498,0.793218,0.799834
124,0.80587,0.805941,0.823647
126,0.816678,0.81719,0.817374
128,0.826942,0.830009,0.826869
130,0.836682,0.836845,0.825249
132,0.845917,0.845354,0.862578
134,0.85467,0.853464,0.84664
136,0.862959,0.862972,0.848533
138,0.870806,0.87195,0.864266
140,0.878229,0.877677,0.878717
142,0.885249,0.881997,0.878999
144,0.891884,0.891642,0.90469
146,0.898152,0.897643,0.890684
148,0.904071,0.906079,0.904253
150,0.90966,0.908229,0.909972
152,0.914933,0.914417,0.911808
154,0.919908,0.921132,0.921171
156,0.9246,0.923504,0.918316
158,0.929024,0.930696,0.93815
160,0.933194,0.933914,0.929361
162,0.937123,0.938382,0.928915
164,0.940825,0.941223,0.935387
166,0.944313,0.940785,0.943303
168,0.947597,0.946179,0.952885
170,0.950689,0.949832,0.949194
172,0.9536,0.952936,0.963547
174,0.956341,0.956499,0.970217
176,0.95892,0.96093,0.961224
178,0.961347,0.959254,0.960199
180,0.963631,0.963497,0.953272
182,0.965779,0.965688,0.967834
184,0.967801,0.964835,0.97261
186,0.969703,0.96891,0.979625
188,0.971491,0.970156,0.971267
190,0.973174,0.972052,0.984616
192,0.974756,0.974651,0.979275
194,0.976245,0.975467,0.99334
196,0.977644,0.976251,0.993055
198,0.978961,0.981198,0.997282
200,0.980199,0.981611,0.989801
202,0.981363,0.981006,0.99046
204,0.982457,0.981887,0.989559
206,0.983487,0.983851,0.994906
208,0.984455,0.983853,0.986902
210,0.985365,0.983146,0.981305
212,0.986222,0.985615,0.983957
214,0.987027,0.986854,0.981555
216,0.987784,0.989573,0.978956
218,0.988496,0.988936,0.992429
220,0.989166,0.988403,0.982378
222,0.989796,0.990108,1.00061
224,0.990389,0.992546,0.971217
226,0.990946,0.990271,0.99951
228,0.991471,0.990708,1.00629
230,0.991964,0.995598,0.990506
232,0.992428,0.99014,0.995084
234,0.992865,0.992486,0.984925
236,0.993276,0.992416,0.997908
238,0.993662,0.993787,0.987099
240,0.994026,0.995605,0.985294
242,0.994368,0.993688,0.99753
244,0.994691,0.996726,0.997869
246,0.994994,0.994278,0.992194
248,0.995279,0.995618,1.00053
250,0.995548,0.994252,0.991161
